,State,County,Urban,lapop1,lapop10,LAPOP1_10,POP2010,lalowi1,lalowi10,lakids1,lakids10,laseniors1,laseniors10,lawhite1,lawhite10,lablack1,lablack10,laasian1,laasian10,lahisp1,lahisp10,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractHispanic,la1_ratio,la10_ratio,la_ratio,la_percentage,pop_ratio_poverty,pop_ratio_kid,pop_ratio_senior,pop_ratio_white,pop_ratio_black,pop_ratio_asian,pop_ratio_hisp,la_ratio_poverty,la_ratio_kid,la_ratio_senior,la_ratio_white,la_ratio_black,la_ratio_asian,la_ratio_hisp,PovertyRate,MedianFamilyIncome
1433,Iowa,Linn,0,26213.40812,4091.884470407,4091.884470407,29428,3940.4053462,695.8359539989999,7109.1309012,1267.701155039,3341.969029,437.98512042100003,25557.527579,3983.8844784069997,131.891308666,30.999999900000002,165.084003008,8.000000083,274.37948392,19.99999991,4969,7979,3824,28672,165,172,324,0.8907641742558108,0.13904731787437136,0.13904731787437136,13.904731787437136,0.16885279325812153,0.27113633274432514,0.1299442707625391,0.9743101807802094,0.005606904988446378,0.005844773684925921,0.011009922522767432,0.15298454177164356,0.2764148219737251,0.12472917521401944,0.9747938241902405,0.005375011908565519,0.005711345718727327,0.009713797778120923,5.671428571428572,85190.28571428571
1434,Iowa,Linn,1,63468.83718786801,0.0,63468.83718786801,181798,12241.660121628,0.0,16475.968643566,0.0,6757.964467526,0.0,58526.276588624,0.0,1729.535584571,0.0,1358.0454915480002,0.0,1406.5606456879998,0.0,45679,43868,23664,163212,8181,3634,5210,0.3491173565598522,0.0,0.3491173565598522,34.91173565598522,0.25126239012530394,0.24130078438706695,0.13016644847578082,0.8977656519873706,0.0450004950549511,0.019989218803287166,0.02865818105809745,0.19287670397036955,0.25959146840514924,0.10647689113198022,0.922126183206823,0.027250153952743262,0.021397043836303163,0.022161437140002654,12.102631578947369,69751.07894736843
1435,Iowa,Louisa,0,7440.142431,129.70652123,129.70652123,11387,1924.7195739,36.558499063,1882.4808644999998,37.611511596,1101.9026203,13.204549773,6939.561177,127.57516043,22.755106827000002,0.0,36.056097996,0.0,710.7934315,3.322760228,3614,2943,1704,10272,60,102,1797,0.6533891658031088,0.011390754477035215,0.011390754477035215,1.1390754477035214,0.31737946781417403,0.2584526214103803,0.14964433125493984,0.902081320804426,0.005269166593483797,0.008957583208922456,0.15781153947483972,0.2590907804554313,0.253650025015408,0.1473090384114601,0.9335901392521304,0.003006018610225582,0.004763119875116959,0.09433691428117975,11.5,59975.0
1436,Iowa,Lucas,0,4384.749748,742.1960017,742.1960017,4429,1603.3496084,262.03912,1080.1303543,159.39280623,804.7690949,160.35386373,4313.073435,729.9067188,8.999999942999999,2.104813199,6.000000022999999,3.1041366860000004,38.67631454,8.094748851999999,1609,1087,817,4357,9,6,39,0.9900089744863401,0.16757642847143825,0.16757642847143825,16.757642847143824,0.363287423797697,0.2454278618198239,0.18446601941747573,0.9837435086927071,0.0020320614134116052,0.0013547076089410702,0.008805599458116957,0.3638401534693735,0.24176638900509717,0.18824520596623703,0.9836226868784571,0.002165970479139513,0.0017757427430420383,0.009122597678108215,11.4,58655.0
1437,Iowa,Lucas,1,1708.0332797,0.0,1708.0332797,4469,658.22524555,0.0,398.90443386,0.0,395.87205342,0.0,1683.1421372,0.0,4.223045782,0.0,8.999999982,0.0,23.704307934,0.0,1605,1088,977,4412,8,9,50,0.38219585582904453,0.0,0.38219585582904453,38.21958558290445,0.35914074737077645,0.24345491161333632,0.21861714029984336,0.9872454687849631,0.0017901096442157081,0.0020138733497426717,0.011188185276348177,0.3853702696387807,0.23354605475255363,0.23177069096073535,0.985427015506178,0.0024724610651273363,0.005269218163934584,0.0138781300199042,19.3,52124.5
1438,Iowa,Lyon,0,8277.030932200001,1299.031021,1299.031021,11581,2147.7903498,372.17660010000003,2374.266358,303.7635933,1300.8730757,333.87232539999997,8092.121892900001,1270.746384,5.064099509,3.941291179,19.164739064,2.0,157.98641114,31.78649797,2880,3205,1948,11340,10,25,212,0.7147077913997065,0.11216915819013902,0.11216915819013902,11.216915819013902,0.24868318798031258,0.27674639495725756,0.16820654520335032,0.9791900526724808,0.0008634832915983075,0.002158708228995769,0.01830584578188412,0.2631527408882219,0.27965879548273925,0.17071165674254252,0.9777368110876978,0.0009404064773192803,0.0022101714846286522,0.019817427042291034,8.5,65709.0
1439,Iowa,Madison,0,8819.474154,2439.641483,2439.641483,10415,1599.6433721,464.9316321,2354.7854930000003,700.0888573,1176.1659892000002,316.8083365,8642.008420999999,2391.69527,33.999999560999996,16.109105921,23.999999845999998,3.9999999369999997,77.80848834,15.891747053,2131,2861,1349,10206,36,31,91,0.8468050075852136,0.23424306125780123,0.23424306125780123,23.424306125780124,0.2046087373979837,0.2746999519923188,0.12952472395583292,0.9799327892462794,0.003456553048487758,0.002976476236197792,0.008737397983677389,0.18336919796927387,0.2713245381600836,0.13260138485421974,0.9799796046805626,0.004450536533911256,0.0024868738083642793,0.008322166537226054,6.45,77174.0
1440,Iowa,Madison,1,290.881355,0.0,290.881355,5264,114.85262890000001,0.0,80.39945835,0.0,32.573040500000005,0.0,288.72718510000004,0.0,0.0,0.0,0.18040669,0.0,3.2897231639999998,0.0,2545,1407,972,5170,10,20,106,0.05525861607142857,0.0,0.05525861607142857,5.525861607142857,0.4834726443768997,0.26728723404255317,0.18465045592705168,0.9821428571428571,0.001899696048632219,0.003799392097264438,0.02013677811550152,0.39484355709220353,0.2763994906101837,0.11198050318488102,0.9925943348964393,0.0,0.000620207128779361,0.011309501648876738,13.3,49890.0
1441,Iowa,Mahaska,0,9711.349524,2878.1528485,2878.1528485,10237,2815.8564504,924.44436144,2445.9889241,731.4607637900001,1496.5717562,470.171703,9574.862744,2840.4841034,19.486781157,1.00000003,43.99999975,9.506929764,71.58571873,19.442434434,2919,2540,1641,10086,24,46,91,0.9486519023151313,0.28115198285630555,0.28115198285630555,28.115198285630555,0.28514213148383316,0.24811956627918336,0.16030086939533067,0.9852495848393084,0.002344436846732441,0.004493503956237179,0.008889323043860507,0.29709679550243084,0.2523888231540186,0.15622090540258962,0.9861666077064001,0.0016272907840861523,0.004250122676085941,0.007230480639396695,8.4,65982.66666666667
1442,Iowa,Mahaska,1,2877.2515930000004,0.0,2877.2515930000004,12144,1053.1061715,0.0,676.93714441,0.0,610.8740676799999,0.0,2747.3401135,0.0,25.08135409,0.0,50.830008206,0.0,28.3725676,0.0,4509,2901,1957,11342,230,209,269,0.2369278320981555,0.0,0.2369278320981555,23.69278320981555,0.37129446640316205,0.23888339920948617,0.16114953886693018,0.9339591567852438,0.01893939393939394,0.017210144927536232,0.022150856389986824,0.36601115246997445,0.23527214167051114,0.21231166199236157,0.9548487592061607,0.008717122322920892,0.017666167369465767,0.0098609963998376,20.025,58292.5
1443,Iowa,Marion,0,15893.330598,2484.2702165,2484.2702165,21312,3104.2304642,528.4284132,4307.8085697,604.3958109,2176.6344904,360.28016273,15546.635678,2441.1658122999997,67.205937538,4.566417084999999,91.00400332199999,8.290832437999999,216.70922173,36.540921644,4795,5600,3327,20821,101,132,305,0.7457456173986486,0.11656673313156907,0.11656673313156907,11.656673313156906,0.22499061561561562,0.2627627627627628,0.15610923423423423,0.9769613363363363,0.004739114114114114,0.006193693693693694,0.014311186186186186,0.19766774314380675,0.267293017743875,0.13804384362992386,0.9787894334992603,0.00390542570531684,0.005403035834887433,0.013780370241483568,10.08,69351.6
1444,Iowa,Marion,1,1916.967511104,0.0,1916.967511104,11997,299.21851450699995,0.0,512.272842232,0.0,290.96027892200004,0.0,1857.5918659759998,0.0,6.158303968,0.0,34.895620418,0.0,14.246911227,0.0,2891,2762,1865,11382,124,247,226,0.15978723940185047,0.0,0.15978723940185047,15.978723940185047,0.24097691089439027,0.23022422272234724,0.155455530549304,0.948737184296074,0.0103359173126615,0.020588480453446696,0.018838042844044344,0.1560895073984207,0.26723084207983117,0.15178153893408095,0.9690262642511842,0.0032125239120267476,0.018203553380987284,0.007432004530319383,13.200000000000001,61267.333333333336
1445,Iowa,Marshall,0,12675.854555999998,5326.0908006,5326.0908006,12678,2760.0561559999996,1256.56388486,3032.5333831000003,1375.09528308,2002.9106663,787.51631261,12309.193198,5186.9081538,67.99999933699999,16.383349987000003,59.978948152,23.999999901000002,363.68239498,112.32207195199999,2785,3033,2003,12311,68,60,364,0.9998307742546142,0.4201049692853762,0.4201049692853762,42.01049692853762,0.21967187253510018,0.23923331755797445,0.15799021927748857,0.9710522164379239,0.00536362202240101,0.00473260766682442,0.028711153178734815,0.22312144389369556,0.24484179786514268,0.15500696861558655,0.9719005921426963,0.004687457252672017,0.004664992943232719,0.026441834896331576,6.7250000000000005,69420.0
1446,Iowa,Marshall,1,5527.284302769999,0.0,5527.284302769999,27970,1599.43908781,0.0,1157.13223426,0.0,1272.9461404029998,0.0,5090.695971900001,0.0,57.562912503999996,0.0,71.502848346,0.0,556.10301778,0.0,10802,7271,4674,23760,611,476,6653,0.1976147408927422,0.0,0.1976147408927422,19.76147408927422,0.3861994994637111,0.2599570968895245,0.1671076153021094,0.8494815874150876,0.021844833750446907,0.01701823382195209,0.23786199499463712,0.2893715973698767,0.20934914342656535,0.23030227335421533,0.921012145032742,0.010414320912559597,0.012936343496962212,0.10061053264463145,15.133333333333333,53600.833333333336
1447,Iowa,Mills,0,8755.419991,1220.4732257019998,1220.4732257019998,8791,1887.8508032999998,346.638541079,2150.2075836999998,272.838844299,1193.978548,225.230614384,8534.419984,1201.8275021589998,17.000000063999998,0.866969123,29.999999965,3.000000046,180.42771575999998,26.367980166000002,1804,2160,1197,8570,17,30,181,0.9959526778523491,0.1388321266866113,0.1388321266866113,13.88321266866113,0.2052098737345012,0.24570583551359346,0.13616198384711636,0.9748606529405074,0.0019337959276532818,0.003412581048799909,0.020589238994426117,0.2239888996243401,0.2428901728761739,0.14226386866370108,0.9759775164652146,0.0017910144784916576,0.003307974463454581,0.02072954184992429,7.3999999999999995,78474.0
1448,Iowa,Mills,1,942.4104676,0.0,942.4104676,6268,259.67539270000003,0.0,298.4473866,0.0,88.91295234,0.0,919.8741188,0.0,4.039888622,0.0,1.815950323,0.0,32.164487918,0.0,1684,1659,826,6069,40,25,178,0.15035265915762602,0.0,0.15035265915762602,15.035265915762603,0.2686662412252712,0.2646777281429483,0.13178047223994896,0.9682514358647096,0.006381620931716656,0.00398851308232291,0.02839821314613912,0.27554383321028386,0.3166851354697326,0.09434631235201701,0.9760864829341377,0.004286761194714048,0.001926920790284312,0.03413001979902881,7.1,78370.5
1449,Iowa,Mitchell,0,6924.697287,2222.4252607999997,2222.4252607999997,6930,2155.7016933,812.2140847000001,1803.9373174,630.126926,1382.3282324,434.60772380000003,6840.697286,2194.5112418999997,11.000000167,2.0,15.999999944999999,4.984003633,59.999999720000005,22.513665828999997,2112,1805,1384,6846,11,16,60,0.9992348177489178,0.3206962858297258,0.3206962858297258,32.069628582972584,0.3047619047619048,0.26046176046176045,0.1997113997113997,0.9878787878787879,0.0015873015873015873,0.002308802308802309,0.008658008658008658,0.32446441626758593,0.2661016325823058,0.19863470142717138,0.9877651119994103,0.0014212119821360289,0.0022940551488562838,0.009020723743210984,9.45,58365.5
1450,Iowa,Mitchell,1,175.658424,0.0,175.658424,3846,55.77629665,0.0,33.72784204,0.0,34.84407922,0.0,173.1373462,0.0,0.337694285,0.0,1.9973791319999998,0.0,0.67538857,0.0,1052,859,958,3775,10,12,50,0.045673017160686426,0.0,0.045673017160686426,4.567301716068642,0.2735309412376495,0.2233489339573583,0.24908996359854393,0.9815392615704628,0.0026001040041601664,0.0031201248049922,0.013000520020800831,0.31752702420921186,0.19200811024013287,0.19836269975870896,0.9856478400375492,0.0019224485641519816,0.011370813232390153,0.0038448971283039633,14.0,68040.0
1451,Iowa,Monona,0,4968.195487,1399.29873512,1399.29873512,6226,1722.6411748,399.8179266,1038.0824870000001,271.04062246,1092.9944630999998,291.41566304,4858.168703,1374.29873272,9.000000018,2.999999968,7.999999967,2.0,53.000000001,21.054718948999998,2145,1345,1464,6063,20,10,72,0.7979755038548024,0.22475084084805652,0.22475084084805652,22.47508408480565,0.34452296819787986,0.21602955348538389,0.23514294892386764,0.9738194667523289,0.0032123353678123997,0.0016061676839061998,0.011564407324124639,0.3333272127718314,0.2055947070846559,0.21741835608279092,0.978794360593068,0.001884571790314826,0.0015704764885786722,0.011630119536307038,8.133333333333333,58605.666666666664
1452,Iowa,Monona,1,111.2959764,0.0,111.2959764,3017,52.84302259,0.0,25.25453957,0.0,30.24637251,0.0,103.6656783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1167,703,726,2909,13,10,35,0.03688961763341067,0.0,0.03688961763341067,3.688961763341067,0.3868080875041432,0.23301292674842558,0.24063639376864435,0.9642028505137554,0.004308916141862778,0.003314550878355983,0.01160092807424594,0.47479724154699987,0.22691332056097582,0.2717651930317222,0.9314413840750491,0.0,0.0,0.0,18.0,50139.0
